spelling,word
['tɾɐ̃.pu.ˈlĩ'],trampolim
['ˈsuʃ.tu'],susto
['a.ˈsɐ̃w̃'],ação
['ˈɡɾu.tɐ'],gruta
['ˈse.bu'],sebo
['ˈnɛ.vɨ'],neve
['iʃ.ˈta.twɐ'],estátua
['iʒ.ˈɡɾi.mɐ'],esgrima
['puɾ.tu.ˈɡal'],Portugal
['vɨɾ.ˈmɐj.ʎu'],vermelho
['ẽ.kɐɾ.ˈna.du'],encarnado
['ˈpa.sɐ.ɾu'],pássaro
['ɐ.mɐ.ˈɾɛ.lu'],amarelo
['ˈbɾɐ̃.ku'],branco
['ɐ.ˈzuɫ'],azul
['ˈno.vu'],novo
['ˈkɐj.ʒu'],queijo
['ˈseʃ.tɐ'],cesta
['ʃɐ.ˈpɛw'],chapéu
['tu.ˈma.tɨ'],tomate
['ʒɐ.ˈnɛ.lɐ'],janela
['ɔɾ.ɡu.ˈʎo.zu'],orgulhoso
['ˈmu.ɾu'],muro
['bɐj.ˈʒaɾ'],beijar
['ˈbaɾ.bɐ'],barba
['bi.ˈɡɔ.dɨ'],bigode
['ˈtɛ.niʃ'],ténis
['dow.tu.ˈɾaɾ'],doutorar
['ˈtɾa.pu'],trapo
['bɐ.ˈli.ɐj.ɾu'],baleeiro
['ˈliʃ.tɐ'],lista
['su.ˈɲaɾ'],sonhar
['duɾ.ˈmiɾ'],dormir
['fɾɐ̃.ˈbu.e.zɐ'],framboesa
['ˈfɛ.bɾɨ'],febre
['pi.ˈnɔ.tɨ'],pinote
['ˈsɐ̃.ɡɨ'],sangue
['buʃ.ˈkaɾ'],buscar
['nɐ.mu.ˈɾaɾ'],namorar
['ˈi.ɔ.ɡɐ'],ioga
['e.ˈkli.ti.kɐ'],eclíptica
['lɨ.ˈɡaɫ'],legal
['ˈfi.ʃɨ'],fixe
['ɐ.bɐ.kɐ.ˈʃi'],abacaxi
['ɐ.bɐ.ˈka.tɨ'],abacate
['ɐ.ˈbɔ.bu.ɾɐ'],abóbora
['ɐ.mˈɐj.ʃɐ'],ameixa
['ɐ.ˈmẽ.dwɐ'],amêndoa
['ɐ.ˈmɔ.ɾɐ'],amora
['ˈa.tɐ'],ata
['ɐ.vɨ.ˈlɐ̃'],avelã
[''],azeitona
['bɐ.ˈnɐ.nɐ'],banana
['kɐ.ˈba.sɐ'],cabaça
['kɐ.ˈkaw'],cacau
['kɐ.ˈfɛ'],café
['ka.ˈʒu'],caju
['ka.ˈki'],caqui
['kɐʃ.ˈtɐ.ɲɐ'],castanha
['sɨ.ˈɾɐj.ʒɐ'],cereja
['ˈdiʃ.ku'],disco
['ˈpɐ.ɾɐ'],para
['ɐj̃'],em
['ˈtɾeʃ'],três
['ˈdɛʃ'],dez
['ˈõ.zɨ'],onze
['ˈdo.zɨ'],doze
['ˈtɾe.zɨ'],treze
['ˈkĩ.zɨ'],quinze
['ˈkʷa.tɾu'],quatro
['ˈi.ku.nɨ'],ícone
['fɨ.ˈʀɐj.ɾu'],ferreiro
['ˈsĩ.ku'],cinco
['ˈveɾ.dɨ'],verde
['dɨ.ˈzoj.tu'],dezoito
"['ˈvĩ.tɨ', 'ˈvĩt']",vinte
['ˈnɔ.vɨ'],nove
['ˈoj.tu'],oito
['ˈsɛ.tɨ'],sete
['mu.si.ˈda.dɨ'],mocidade
['ˈtɾĩ.tɐ'],trinta
['ˈsɐ̃j̃'],cem
['i.zuɾ.bi.ˈtɐ̃.tɨ'],exorbitante
['ɡlu.ˈsa.ɾi.u'],glossário
['sɐ.ˈni.tɐ'],sanita
['nu.ˈvẽ.tɐ'],noventa
['kʷɐ.ˈɾẽ.tɐ'],quarenta
['sɨ.ˈsẽ.tɐ'],sessenta
['sɨ.ˈtẽ.tɐ'],setenta
['oj.ˈtẽ.tɐ'],oitenta
['sɨ.ˈɡũ.du'],segundo
['ˈkʷaɾ.tu'],quarto
['ˈkĩ.tu'],quinto
['mɐ.ɾɨ.ˈmɔ.tu'],maremoto
['ˈlɐj.tɨ'],leite
['ʒɨ.ˈzu.i.tɐ'],jesuíta
['bi.mẽ.ˈsaɫ'],bimensal
['bi.mɨʃ.ˈtɾaɫ'],bimestral
['ɐ.di.si.u.ˈnaɾ'],adicionar
['ˈsɛ.ti.mu'],sétimo
['ˈmiɫ'],mil
['sɨ.ˈmɐ.nɐ'],semana
['ˈko.ku'],coco
['ˈkɔ.nɨ'],cone
['ˈli.si.tu'],lícito
['kaw.zɐ.li.ˈda.dɨ'],causalidade
['kõʃ.ti.tu.i.ˈsɐ̃w̃'],constituição
['fiɫ.ˈmaɾ'],filmar
['ɔʃ.pi.tɐ.ˈlɐj.ɾu'],hospitaleiro
['ˈno.nu'],nono
['ˈdɛ.si.mu'],décimo
['vi.ˈʒɛ.zi.mu'],vigésimo
['tɾi.ˈʒɛ.zi.mu'],trigésimo
['eɾ.ˈvi.ʎɐ'],ervilha
['sẽ.ˈtɛ.zi.mu'],centésimo
['kʷĩ.ʒẽ.ˈtɛ.zi.mu'],quingentésimo
['ɐ.buɾ.ˈdaɾ'],abordar
['mi.ˈlɛ.zi.mu'],milésimo
['kõ.vẽ.si.u.nɐ.ˈliʒ.mu'],convencionalismo
['ˈsĩ'],sim
['sɨ.ɡi.ˈmẽ.tu'],seguimento
['ˈunu'],uno
['ˈʒĩ.ʒɐ'],ginja
['ˈɡlɐ̃.dɨ'],glande
['ɡoj.ˈa.bɐ'],goiaba
['ɡɾɔ.ˈze.ʎɐ'],groselha
['ˈsɛ.ɡu'],cego
['ɐ.baɫ.ˈʀu.aɾ'],abalroar
['mu.ˈni.si.pɨ'],munícipe
['pẽ.ˈsɐ̃w̃'],pensão
['ˈdu.ɔ'],duo
['ĩ.bɨ.ˈsiɫ'],imbecil
['pɐ.ˈlɛɾ.mɐ'],palerma
['pa.ˈtɛ.tɐ'],pateta
['ɐ.bu.ˈli.ɐ'],abulia
['ˈmɔɾ.bi.du'],mórbido
['ɐ.bi.ˈtɐ̃.tɨ'],habitante
['bɐ.ɾɐ.ˈfũ.dɐ'],barafunda
['ˈpow.ku'],pouco
['ˈʀe.dɨ'],rede
['ˈɡɾĩ.ɡu'],gringo
"['iʃ.tɾɐ̃.ˈʒɐj.ɾu', 'ʃtɾɐ̃.ˈʒɐj.ɾu']",estrangeiro
['pɨ.ˈla.ʒɐ̃j̃'],pelagem
['ˈmũ.du'],mundo
['bɐ.nɐ.ˈnɐj.ɾɐ'],bananeira
['mi.ˈʎaɾ'],milhar
['ẽ.sa.ˈiʃ.tɐ'],ensaísta
['di.ɐ.ˈlɛ.tu'],dialeto
['ˈpe.sɨ.ɡu'],pêssego
['e.pi.ˈkaɾ.pu'],epicarpo
['ˈpu.tɐ'],puta
['mɐ.ˈɡuʃ.tu'],magusto
['vɨɾ.ˈbe.tɨ'],verbete
['kuɾ.ˈnu.du'],cornudo
['ɐ.ˈmɐj.ɐ'],ameia
['kʷu.pɨ.ɾɐ.ˈti.vɐ'],cooperativa
['nɐ.tu.ˈɾe.zɐ'],natureza
['pɔ.ˈli.ɛ.dɾu'],poliedro
['kõ.ˈʒũ.tu'],conjunto
['ɐ̃.ɡli.ˈsiʒ.mu'],anglicismo
['paɫ.ˈpi.tɨ'],palpite
['su.ʒɨʃ.ˈtɐ̃w̃'],sugestão
['ˈle.tɾɐ'],letra
['fi.dɨ.ˈdi.ɡnu'],fidedigno
['kõ.ˈfu.zu'],confuso
['plɐ̃.ˈtaɾ'],plantar
['dɨ.zɔɾ.dɨ.ˈna.du'],desordenado
['ɐɾ.ki.tɛ.ˈtu.ɾɐ'],arquitetura
['kõʃ.puɾ.ˈkaɾ'],conspurcar
['a.ˈʃi.ʃɨ'],haxixe
['ˈsɛ.ksu'],sexo
['i.di.u.ˈti.ɐ'],idiotia
['flu.ˈvjaɫ'],fluvial
['dɨ.ˈkɾɛ.tu'],decreto
['ʒɨ.ni.ˈti.vu'],genitivo
['dɐ.ˈti.vu'],dativo
['vu.kɐ.ˈti.vu'],vocativo
['ɐ.blɐ.ˈti.vu'],ablativo
['di.a'],dia
['nɨ.sɨ.si.ˈda.dɨ'],necessidade
['ɐ.ˈba.tɨ'],abate
['mɨ.tɐ.ˈfi.zi.kɐ'],metafísica
['lɐ.ˈɾɐ̃.ʒɐ'],laranja
['mi.ˈnu.tu'],minuto
['ˈɔm'],homem
['i.lɨ.ˈmẽ.tu'],elemento
['ĩ.ˈklu.iɾ'],incluir
['ẽ.ˈbɔ.ɾɐ'],embora
['ˈkɾi.ti.kɐ'],crítica
['ˈsĩ.zɐ'],cinza
['ˈaɾ.ku'],arco
['ˈteɾ'],ter
['ˈme.zɐ'],mesa
['ɔb.ˈʒɛ.tuʃ'],objeto
['ˈfi.tɐ'],fita
['pɾu.ˈʒɛ.tu'],projeto
['i.bɾi.ˈdiʒ.mu'],hibridismo
['ˈkli.kɨ'],clique
['ˈkɐ.mɐ'],cama
['kɐ.ˈdɐj.ɾɐ'],cadeira
['ˈpa.ʒi.nɐ'],página
['mi.kɾɔ.ˈfɔ.nɨ'],microfone
['bi.bli.u.ˈtɛ.kɐ'],biblioteca
['ˈli.vɾu'],livro
['tɛ.ˈkla.du'],teclado
['li.vɾɐ.ˈɾi.ɐ'],livraria
['ɐ.ˈmoɾ'],amor
['ti.u.ˈɾi.ɐ'],teoria
['pɾɨ.ˈfa.si.u'],prefácio
['ĩ.dɨm.ni.zɐ.ˈsɐ̃w̃'],indemnização
['ĩ.dɨm.ni.ˈzaɾ'],indemnizar
['ˈnɔ.dwɐ'],nódoa
['nu.ˈta.vɛɫ'],notável
['ˈmɐ̃j̃'],mãe
['li.ɡɐ.ˈsɐ̃w̃'],ligação
['pɔ.li.ˈɡlɔ.tɐ'],poliglota
['ˈtɾi.plu'],triplo
['ˈkʷa.dɾu.plu'],quádruplo
['aw.ˈzẽ.si.ɐ'],ausência
['piɡ.mẽ.tɐ.ˈsɐ̃w̃'],pigmentação
['ˈpɛ.lɨ'],pele
['ɐ.nu.mɐ.ˈli.ɐ'],anomalia
['ˈi.ɾiʃ'],íris
['ẽ.bɾi.u.lu.ˈʒi.ɐ'],embriologia
['iʃ.ˈtɔ.ɾi.ɐ'],história
['ˈlɔ.ʒɐ'],loja
['ɛ.ˈnɔ.lu.ɡu'],enólogo
['ẽ.bɾi.ˈɐ̃w̃'],embrião
['pu.ˈpi.lɐ'],pupila
['ˈkɔɾ.ni.ɐ'],córnea
['ˈpe.lu'],pêlo
['ˈdɛɾ.mɨ'],derme
['piˈɡ.mẽ.tu'],pigmento
['ẽ.di.ɲɐj.ˈɾa.du'],endinheirado
['ˈkɔɾ.puʃ'],corpus
['pɨ.ˈke.nu'],pequeno
['ɔb.ˈʒɛ.tu'],Wikcionário:O que todo verbete precisaria ter
['ˈkaɾ.tɐ'],carta
['ɔ.ˈla'],olá
['ˈko.mu'],como
['vɔ.ˈse'],você
['bɐ̃j̃'],bem
['si.ˈtaɾ'],citar
['sɨ.kɾɨ.tɐ.ˈɾi.ɐ'],secretaria
['mɨ.li.ˈtaɾ'],militar
['ˈdu.vi.dɐ'],dúvida
['kõ.ˈpɾaɾ'],comprar
['ˈta.ʃɐ'],taxa
['ɐjʃ.tĩ.ˈsɐ̃w̃'],extinção
['ĩ.ˈsẽ.di.u'],incêndio
['i.zɨɾ.ˈsi.si.u'],exercício
['ɐd.ki.ˈɾẽ.tɨ'],adquirente
['i.nu.ˈʒa.du'],enojado
['i.nɐ.kɾɨ.di.ˈta.vɛɫ'],inacreditável
['ĩ.pu.ˈsi.vɛɫ'],impossível
['ɾa.pi.dɐ.ˈmẽ.tɨ'],rapidamente
['ɐ.si.dẽ.taɫ.ˈmẽ.tɨ'],acidentalmente
['ˈtu'],tu
"['ˈow.ɾu', 'ˈo.ɾu']",ouro
['ˈaɫ.mɐ'],alma
['õ.bɾi.ˈda.dɨ'],hombridade
['iʃ.tɾɐ.ti.fi.ˈkaɾ'],estratificar
['ˈtɔ.ɾu'],toro
['ɐ̃.ti.nu.ˈmi.ɐ'],antinomia
['ɐ.ˈkʷa.ti.ku'],aquático
['iʃ.tɾɐ̃.ʒɐj.ˈɾiʒ.mu'],estrangeirismo
['iʃ.tu.ˈdɐ̃.tɨ'],estudante
['fɾɐ.tɨɾ.ni.ˈda.dɨ'],fraternidade
['ɡɐ.ˈmɛ.lɐ'],gamela
['ĩ.du.ˈsɐ̃w̃'],indução
['ĩʃ.ti.tu.i.ˈsɐ̃w̃'],instituição
['iɾ.ˈmɐ̃'],irmã
['mi.ˈla.ɡɾɨ'],milagre
['ɔ.ˈdoɾ'],odor
['ˈpaɾ.tu'],parto
['pɐ.ˈtɾi.si.u'],patrício
['pu.pu.ˈlaɾ'],popular
['pu.zi.ˈsɐ̃w̃'],posição
['pow.ˈza.dɐ'],pousada
['pɾu.fɐ.nɐ.ˈsɐ̃w̃'],profanação
['ʀja.ˈsɐ̃w̃'],reação
['ʀɨ.ˈvɔɫ.tɐ'],revolta
['ˈsɔ.zi.ɐ'],sósia
['tɾu.vɐ.ˈdoɾ'],trovador
['ʀɐ.ˈzɐ̃.tɨ'],rasante
['ˈteɾ.su'],terço
['u.ni.vɨɾ.si.ˈda.dɨ'],universidade
['ˈpɔɾ.tɐ'],porta
['kɐ.lẽ.ˈda.ɾi.u'],calendário
['bu.ˈtɐ̃w̃'],botão
['mɐ.sɐ.ˈne.tɐ'],maçaneta
['ɐ.ˈbɾiɾ'],abrir
['ˈvi.ɲu'],vinho
['fu.tu.ɡɾɐ.ˈfi.ɐ'],fotografia
['pɐ̃.ˈtɛ.ɾɐ'],pantera
['si.ˈne.mɐ'],cinema
['iʃ.ˈtɾe.lɐ'],estrela
['ˈaɾ.tɨ'],arte
['fɨ.ˈli.nu'],felino
['ˈdɐ̃.sɐ'],dança
['ˈdɾɐ.mɐ'],drama
['pɾu.ˈble.mɐ'],problema
['e.pi.ˈta.fi.u'],epitáfio
['ɔ.ˈka.zu'],ocaso
['ˈbɔ.nuʃ'],bónus
['u.ˈni.ɐ̃w̃'],união
['si.mɨ.ˈtɾi.ɐ'],simetria
['ˈpoɾ.ku'],porco
['ˈfẽ.dɐ'],fenda
['ˈʃa.vɨ'],chave
['kɐ.ˈbe.sɐ'],cabeça
['ˈu.mɐ'],uma
['tɨ.ˈʀɛʃ.tɾɨ'],terrestre
['vɨ.nɨ.ˈzi.ɐ.nu'],veneziano
['dɨ.zɐ.ˈnɔ.vɨ'],dezanove
['dɨ.zɐ.ˈsɐjʃ'],dezasseis
['ˈlɐ.mɐ'],lama
['ˈaɾ.ti.ku'],ártico
['ˈnɔɾ.tɨ'],norte
['kɐɾ.ˈdjaɫ'],cardeal
['pɾɨ.ˈla.du'],prelado
['mɨ.ˈnu'],menu
['mɐ.ˈtɾiʃ'],matriz
['ɐ̃ti.cõʃtituci.unɐlisimaˈmẽtɨ'],anticonstitucionalissimamente
['du.ɐ.ˈsɐ̃w̃'],doação
['ˈfo.ʎɐ'],folha
['ˈpa.dɾɨ'],padre
['a.mɐ.ˈɲɐ̃'],amanhã
['vi.ˈzɐ̃w̃'],visão
['ta.ksu.nu.ˈmi.ɐ'],taxonomia
[''],casa
['bɐ.ˈi.ɐ'],baía
['ɔ.ɾi.ˈfi.si.u'],orifício
['ˈnɐ̃w̃'],não
['kõ.ˈkla.vɨ'],conclave
['tuɾ.ˈbɐ̃.tɨ'],turbante
['ɔɾ.ˈna.tu'],ornato
['ˈmeʒ.mu'],mesmo
['ɐ.bɾɨ.vi.ɐ.ˈtu.ɾɐ'],abreviatura
['kɐ.pi.tɐ.ˈliʒ.mu'],capitalismo
['ɐ.su.si.ɐ.ˈsɐ̃w̃'],associação
['ˈte.mɐ'],tema
['bi.u.lu.ˈʒi.ɐ'],biologia
['fuɾ.ˈmaɾ'],formar
['puɾ'],por
['ɐ.nɐ.tu.ˈmi.ɐ'],anatomia
['ˈpɐj.ʃɨ'],peixe
['ɔɾ.ni.tu.lu.ˈʒi.ɐ'],ornitologia
['ɐ.ɾɐ.ˈkni.di.u'],aracnídeo
['ĩ.ˈsɛ.tu'],inseto
['mu.ˈluʃ.ku'],molusco
['iʃ.ˈpɛ.si.mɨ'],espécime
['ik.ti.u.lu.ˈʒi.ɐ'],ictiologia
['ˈʀɛp.tiɫ'],réptil
['ˈvɛɾ.mɨ'],verme
['ɛ.ku.lu.ˈʒi.ɐ'],ecologia
['kɐ.tɨ.ɡu.ˈɾi.ɐ'],categoria
['ˈkɨ'],que
['dɨ'],de
['kɐ.mi.ˈze.ta'],camiseta
['di.vuɫ.ˈɡaɾ'],divulgar
['kuɫ.ˈtu.ɾɐ'],cultura
['ĩ.tɨɾ.ˈva.lu'],intervalo
['kɾi.ˈow.lu'],crioulo
['kõ'],com
['ˈʀuɐ'],rua
['e.ɾu.di.ˈsɐ̃w̃'],erudição
['na.ˈziʒ.mu'],nazismo
['iʃ.ku.ˈʎeɾ'],escolher
['ɐ.sẽ.ˈblɐj.ɐ'],assembleia
['i.lɨ.ˈʒeɾ'],eleger
['sɨ'],se
['ĩ.ˈtuj.tu'],intuito
['ˈpi.kɐ'],pica
['ʒu.ˈɾi.di.ku'],jurídico
['ʒu.ɾiʃ.pɾu.ˈdẽ.si.ɐ'],jurisprudência
['ˈkɔ.di.ɡu'],código
['bɨ.ɾĩ.ˈʒɛ.lɐ'],beringela
['new.ˈtɾɐ̃w̃'],neutrão
['mnɨ.ˈmɔ.ni.kɐ'],mnemónica
['ˈfak.tu'],facto
['kõ.ˈʒɛ.ni.tu'],congénito
['ˈi.dɐ'],ida
['ʒũ.ˈtaɾ'],juntar
['tɾɐ.ˈtaɾ'],tratar
['fɐ.ˈzeɾ'],fazer
['nɐ.tu.ˈɾiʒ.mu'],naturismo
['nɐ.tu.ˈɾiʃ.tɐ'],naturista
['ˈpɾaj.ɐ'],praia
['ku.mɨ.ˈsaɾ'],começar
['ˈɡjaɾ'],guiar
['ɔ.ˈsi.ɐ.nu'],oceano
['ˈmaɾ'],mar
['mɐʃ.tuɾ.bɐ.ˈsɐ̃w̃'],masturbação
['ˈnu'],nu
['li.tɨ.ɾɐ.ˈtu.ɾɐ'],literatura
['ɐ.ˈnajʃ'],anais
['i.ˈɡɾɐj.ʒɐ'],igreja
['sɐ̃j̃'],sem
['fu.ˈnɛ.ti.kɐ'],fonética
['sɨ.ˈmɐ̃.ti.kɐ'],semântica
['si.ɡni.fi.ˈka.du'],significado
['ˈõ.dɨ'],onde
['lu.ˈkaɫ'],local
['kõ.ˈɡɾɛ.su'],congresso
['ˈmuɫ.ti.plu'],múltiplo
['ˈa.tu.mu'],átomo
['kʷaɫ.ˈkɛɾ'],qualquer
['ɔ.pɨ.ɾɐ.ˈsɐ̃w̃'],operação
['pɐ.ɾɨ.ˈsi.du'],parecido
['du'],do
['ow'],ou
['u.ˈzaɾ'],usar
['ˈpo.vu'],povo
['ɔ.ˈɾjẽ.tɨ'],oriente
['fɨ.mɨ.ˈni.nu'],feminino
['ko.nɐ'],cona
['ˈsi.lɐ.bɐ'],sílaba
