,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
61,Alegroso,alegɾozo,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,"Alegroso, alegre. Cfr. se-rioso, varioso.",alegre,,136.0
62,Alembrá,alembɾaː,"lembrar, lembrar-se",,remember,verb,Diu creole,"Old Portuguese, Dialectal Portuguese",,"Alembrá, lembrar, lembrar-se. Dial. div. — Port. arch. e Dialetal Portuguese. alembrar. Alembração (A^. 7^.), lembrança (mais us.).","lembrar, lembrar-se",,136.0
63,Alembração,alembɾasaːo,lembrança,,remembrance,noun,,,,,lembrança,,136.0
64,Alfada,alfada,almofada,aɫ.mu.ˈfa.dɐ,cushion,noun,,,,"Alfada, almofada.— Por al-m'fada (assimil.).",almofada,,136.0
65,Alfàndago,alfaːndago,alfândega,aɫ.ˈfɐ̃.dɨ.ɡɐ,customs,noun,,,,"Alfàndago, alfandega.",alfandega,,136.0
66,Alfiato,alfiato,alfaiate,aɫ.fɐj.ˈa.tɨ,tailor,noun,,,,"Alfiato, alfaiate. Alfiate: dial. de Mahé.",alfaiate,,136.0
67,Algoso,algozo,algoz,,executioner,noun,,,,"Algoso, algoz. Paragoge de o. Cfr. praieiro.",algoz,,136.0
68,Alguems,algems,alguns,,a few,pronoun,,,,"Alguems (A^. T"".), alguns. V.",alguns,,136.0
69,Alhum,aʎum,algum,,any,pronoun,,,,"Alhum, alum (p.us.), algum. Alhuma, alguém, algum de. Alhumas, algumas pessoas, alguns de. Alhumhoras, por algum tempo. Alhumhoras... alhumhoras ..ora... ora...",algum,,136.0
70,alum,alum,algum,,any,pronoun,,,,"Alhum, alum (p.us.), algum. Alhuma, alguém, algum de. Alhumas, algumas pessoas, alguns de. Alhumhoras, por algum tempo. Alhumhoras... alhumhoras ..ora... ora...",algum,,136.0
71,Alhuma,aʎuma,alguém,aɫ.ˈɡɐ̃j̃,someone,pronoun,,,,,alguém,,136.0
72,algum de Alhumas,algum de aʎumas,"algumas pessoas, alguns de",,some people,pronoun,,,,,"algumas pessoas, alguns de",,136.0
73,Alhumhoras,aʎumoɾas,por algum tempo,,for a while,adverb,,,,,por algum tempo,,136.0
74,Alhumhoras...alhumhoras...,aʎumoɾas aʎumoɾas,ora ora,,well... well..,adverb,,,,,ora ora,,136.0
75,Allagrá,alagɾaː,"alegrar, alegrar-se",,rejoice,verb,,,"O Bruffador, ii periódico","AUagrá, allagriá {Br. 2), alegrar, alegrar-se. Allagre, allagroso, allegrioso {Br. 2), alegre. Allagriá, alegria. — Infl. das linguaes na mudança de e em a.","alegrar, alegrar-se",,136.0
76,allagriá,alagɾiaː,"alegrar, alegrar-se",,rejoice,verb,,,"O Bruffador, ii periódico","AUagrá, allagriá {Br. 2), alegrar, alegrar-se. Allagre, allagroso, allegrioso {Br. 2), alegre. Allagriá, alegria. — Infl. das linguaes na mudança de e em a.","alegrar, alegrar-se",,136.0
77,Allagre,alagɾe,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,,alegre,,136.0
78,allagroso,alagɾozo,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,,alegre,,136.0
79,allegrioso,alegɾiozo,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,,alegre,,136.0
80,Allagria,alagɾia,alegria,ɐ.lɨ.ˈɡɾi.ɐ,joy,noun,,,,"Allegri, alegria (t. us.). Cfr. caristi.",alegria,,136.0
81,allegri,alegɾi,alegria,ɐ.lɨ.ˈɡɾi.ɐ,joy,noun,,,,"Allegri, alegria (t. us.). Cfr. caristi.",alegria,,136.0
82,Almári,almaːɾi,armário,ɐɾ.ˈma.ɾju,cabinet,noun,,,,"Almári, almario, armário. Cfr. peditóri, remedi.",armário,,136.0
83,Almazem,almazem,armazém,ɐɾ.mɐ.ˈʒɐ̃j̃,warehouse,noun,,"Old Portuguese, Dialectal Portuguese",,"Almazem, armazém.—Port. arch. e Dialetal Portuguese. Mais us. gudão.",armazém,,136.0
84,Almóça,almoːsa,almoço,aɫ.ˈmo.su,lunch,noun,,,,"Almoça, almoço.",almoço,,136.0
85,Alqumas,alkumas,algumas,,a few (feminine),pronoun,,,,"Alqumas, algumas. P. us. V.",algumas,pouco usado,136.0
86,Altividade,altiʋidade,altivez,,pride,noun,,Old Portuguese,,"Altividade, altivez. — Port. arch.",altivez,,137.0
87,Alumado,alumado,aluado,ɐ.ˈlwa.du,moonstruck,adjective,,,,"Alumado, aluado. Mais us. l untado.",aluado,,137.0
88,Aluminá,aluminaː,iluminar,i.lu.mi.ˈnaɾ,illuminate,verb,,,,"Aluminá, illuminar.",illuminar,,137.0
89,Alverção,alʋeɾsaːo,aversão,ɐ.vɨɾ.ˈsɐ̃w̃,aversion,noun,,,Cantigas,Alverção (Cant.)^ aversão.,aversão,,137.0
90,Alvorsà,alʋoɾsaː,alvoroçar,aɫ.vu.ɾu.ˈsaɾ,fuss,verb,,,,"Alvorsà, alversá, alvoroçar.",alvoroçar,,137.0
91,alversá,alʋeɾsaː,alvoroçar,aɫ.vu.ɾu.ˈsaɾ,fuss,verb,,,,"Alvorsà, alversá, alvoroçar.",alvoroçar,,137.0
92,Alvoroção,alʋoɾosaːo,alvoroço,aɫ.vu.ˈɾo.su,uproar,noun,,,"O Bruffador, i periódico","Alvoroção (deriv. norm.), alvroço {Br. i), alvoroço.",alvoroço,derivado,
93,alvroço,alʋɾoso,alvoroço,aɫ.vu.ˈɾo.su,uproar,noun,,,"O Bruffador, i periódico","Alvoroção (deriv. norm.), alvroço {Br. i), alvoroço.",alvoroço,derivado,
94,Causedor,kauzedoɾ,causador,,causer,adjective,,,,,causador,,
95,Depalmião,depalmiaːo,desde a manhã,,since the morning,adverb,Capeverdean creole,,,,desde a manhã,,
96,Amanhão,amaɲaːo,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
97,aminhão,amiɲaːo,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
98,amião,amiaːo,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
99,amiam,amiam,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
100,Amaroso,amaɾozo,amoroso,ɐ.mu.ˈɾo.zu,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
101,ameroso,ameɾozo,amoroso,ɐ.mu.ˈɾo.zu,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
102,amoro,amoɾo,amoroso,ɐ.mu.ˈɾo.zu,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
103,Ambal,ambal,bigorna,,anvil,noun,Dutch,,,"Ambal, bigorna.—HoU. aann-beeld.",bigorna,,137.0
104,Améças,ameːsas,ameaças,,threats,noun,,,,"Améças, ameaças. V. messá.",ameaças,,137.0
105,Amiçan,amisan,ambição,ɐ̃.bi.ˈsɐ̃w̃,ambition,noun,,,,"Amiçan, ambição. Ass. do b. á nasal precedente. Cfr. amos.",ambição,,137.0
106,Amizade,amizade,"amizade, amigo",,"friendship, friend",noun,,,,"Amisfade, amizade; amigo. Cfr. inimizade, secura.","amizade, amigo",,137.0
107,Amos,amos,ambos,,both,pronoun,,"Old Portuguese, Dialectal Portuguese",,"Amos (t. us.), ambos.—Port. arch. e Dialetal Portuguese. em próclise («amos de dois», «amordois»).",ambos,,137.0
108,Ámper,aːmpeɾ,"cerca de, quasi",,"about, almost",adverb,,,,"Ámper, ámper ámper, cerca de, quasi. — Etym. inc.","cerca de, quasi",,137.0
109,ámperámper,aːmpeɾaːmpeɾ,"cerca de, quasi",,"about, almost",adverb,,,,"Ámper, ámper ámper, cerca de, quasi. — Etym. inc.","cerca de, quasi",,137.0
110,Ampér,ampeːɾ,amparo,ɐ̃.ˈpa.ɾu,amparo,noun,,,Cantigas,Ampér {Cant.)^ amparo.,amparo,,137.0
111,Amportà,ampoɾtaː,amparar,,support,verb,,,"O Bruffador, ii periódico","Amportà {Br. 2), amparar.",amparar,,137.0
112,Andà,andaː,"andar, ir",,"walk, go",verb,,,,"Anda, andavè (poet.), andar; ir. Substitue vai.","andar, ir",poético,137.0
113,andavè,andaʋeː,"andar, ir",,"walk, go",verb,,,,"Anda, andavè (poet.), andar; ir. Substitue vai.","andar, ir",poético,137.0
114,Anela,anela,anel,ɐ.ˈnɛɫ,ring,noun,Macao creole,,,"Anela, anel. Dial. de Mahé, mac. Cfr. papeia.",anel,,137.0
115,Anima,anima,ânimo,ˈɐ.ni.mu,cheer,noun,,,,"Anima, animo. Cfr. almoça.",animo,,137.0
116,Anjo-chusmos,and̠ʒo t̠ʃuzmos,turmas de anjos,,groups of angels,noun,,,,"Anjo-chusmos, turmas de anjos. Anjo-cuidador, anjo da guarda. Anjo-fallas, falias angélicas. Anjo-rosto, rosto de anjo.",turmas de anjos,,137.0
117,Anjo-cuidador,and̠ʒo kuidadoɾ,Anjo-cuidador,,caretaker angel,noun,,,,,Anjo-cuidador,,
118,Anjo-fallas,and̠ʒo falas,falas angélicas,,angelic talk,noun,,,,,fallas angélicas,,
119,Anjo-rosto,and̠ʒo ɾosto,rosto de anjo,,angel face,noun,,,,,rosto de anjo,,
120,Anjóla,and̠ʒoːla,anzol,,hook,noun,,Old Portuguese,,"Anjóla, anzol. — Port. arch. anzolo.",anzol,,137.0
121,Ankerà,ankeɾaː,ancorar,ɐ̃.ku.ˈɾaɾ,anchor,verb,,,,"Ankerà, anchrà,, ancrà, an-chorar,",ancorar,,137.0
122,ancrà,ankɾaː,ancorar,ɐ̃.ku.ˈɾaɾ,anchor,verb,,,,"Ankerà, anchrà,, ancrà, an-chorar,",ancorar,,137.0
123,Anno-casa,anno kaza,casa em que se festeja o dia de anos,,house where the birthday is celebrated,noun,,,,"Anno-casa, casa em que se festeja o dia de annos. Anno-dia, primeiro dia do anno.",casa em que se festeja o dia de annos,,137.0
124,Anno-dia,anno dia,primeiro dia do ano,,first day of the year,numeral,,,,,primeiro dia do anno,,
125,Anoute,anoute,noite,,night,noun,,,,"Anoute, noite. — De á noute. Cfr. atarde, dedia.",noite,,137.0
126,Anciado,ansiado,ansioso,,anxious,noun,,,,"Andado, ancioso. Cfr. alegrado, contentado.",ancioso,,137.0
127,Ansque,anske,"antes que, antes de",,before,adverb,,,,"Ansque, antes que; antes de.","antes que, antes de",,137.0
128,Antiphono,antifono,antífona,,antiphony,noun,,,,"Antiphono, antiphona.",antiphona,,137.0
129,Anxiamente,anʃiamente,ansiosamente,,eagerly,adverb,,,,"Anxiamente, anciosamente. Cfr. /orçamente.",anciosamente,,137.0
130,Apertamento,apeɾtamento,"aperto, aflição",,"tightness, distress",noun,,Old Portuguese,,"Apertamento, apartamento, aperto, afflicçao.— Apertamento: port. arch.","aperto, afflicção",,137.0
131,apartamento,apaɾtamento,"aperto, aflição",,"tightness, distress",noun,,Old Portuguese,,"Apertamento, apartamento, aperto, afflicçao.— Apertamento: port. arch.","aperto, afflicção",,137.0
132,Apinhá,apiɲaː,apanhar,ɐ.pɐ.ˈɲaɾ,catch,verb,,,,"Apinha, apanhar. T. panhà. Cfr. accompinhá.",apanhar,,137.0
133,Applicação,aplikasaːo,"requerimento, representação",,application,noun,English,,,"Applicaçáo, applicaçan, requerimento, representação. — Ingl. application.","requerimento, representação",,137.0
134,applicaçan,aplikasan,"requerimento, representação",,application,noun,English,,,"Applicaçáo, applicaçan, requerimento, representação. — Ingl. application.","requerimento, representação",,137.0
135,Approval,apɾoʋal,aprovação,,approval,noun,English,,,"Approval, approvacão.— Ingl.",approvacão,,137.0
136,April,apɾil,abril,,april,noun,English,,,"April, abril. — Ingl.",abril,,137.0
137,Aquél,akeːl,aquilo,ɐ.ˈki.lu,aquilo,pronoun,,,,"Aquél, aquelle, aquillo; o. Aquelhora (/-A), aquella hora: então. Dial. coch. Aquelvidè, por causa d'aquillo: por isso, por tanto. V. vide.",aquillo,,137.0
138,aquelle,akele,aquilo,ɐ.ˈki.lu,aquilo,pronoun,,,,"Aquél, aquelle, aquillo; o. Aquelhora (/-A), aquella hora: então. Dial. coch. Aquelvidè, por causa d'aquillo: por isso, por tanto. V. vide.",aquillo,,137.0
139,Aquelvide,akelʋide,por causa daquilo,,because of that,adverb,,,,,por causa daquilo,,
140,Arco,aɾko,"arco, arca",,"bow, ark",noun,,,,"Arco, arco; arca. Cfr. braço, ponto.","arco, arca",,138.0
141,Ária,aːɾia,areia,ɐ.ˈɾɐj.ɐ,sand,noun,Macao creole,,,"Ária, areia. Dial. mac. Cfr. aldia, cadia.",areia,,138.0
142,Arià,aɾiaː,variar,vɐ.ˈɾi.aɾ,vary,verb,,,,"Arià, variar. Ariado, variado, vario. Ariação, variação.",variar,,138.0
143,Ariba,aɾiba,arriba,,cliff,noun,,Dialectal Portuguese,,"Ariba, arriba (port. Dialetal Portuguese.) Mais us. riba.",arriba,,138.0
144,Aromatizàrs,aɾomatizaːɾs,aromas,,flavours,noun,,,"O Bruffador, ii periódico","Aromatizàrs [Br. 2), aromas.—Verbo substantivado.",aromas,,138.0
145,Aros,aɾos,arroz,ɐ.ˈʁoʃ,rice,noun,,,,"Aros, arroz. Aro^: Chr. de Bisn.",arroz,,138.0
146,Artaple,aɾtaple,batata,,potato,noun,Dutch,,,"Artaple, batata. — WoW.aar-dappel.",batata,,138.0
147,Ártei,aːɾtei,"forte, robusto",,"strong, robust",adjective,Dutch,,,"Ártei (p. us.), forte, robusto. — Holl. hartig.","forte, robusto",pouco usado,138.0
148,Articulo,aɾtikulo,artigo,,article,noun,English,,,"Articulo, artigo. — Do ingl. article f",artigo,,138.0
149,Artifiço,aɾtifiso,artifício,ɐɾ.ti.ˈfi.sju,artifice,noun,,,,"Artifiço, artificio. Cfr. pa-laço, sacrifico.",artificio,,138.0
150,Artilháris,aɾtiʎaːɾis,artilheiros,,gunners,noun,,Old Portuguese,"O Bruffador, i periódico","Artilháris {Br. i), artilheiros. — Port. arch. artelharya. Cfr. conselharo.",artilheiros,,138.0
151,Ásper,aːspeɾ,áspero,ˈaʃ.pɨ.ɾu,rough,adjective,,,,"Ásper, áspero. Cfr. vésper, témper. Asperà, tornar-se áspero, esbravejar. Asperdade, aspereza. Cfr. altividade, duvi-dade.",áspero,,138.0
152,Asperà,aspeɾaː,"tornar-se áspero, esbravejar",,"roughen up, rant",verb,,,,,"tornar-se áspero, esbravejar",,
153,Asperdade,aspeɾdade,aspereza,ɐʃ.pɨ.ˈɾe.zɐ,rough protuberances,noun,,,,,aspereza,,
154,Assi,asi,"assim, tão",,as,adverb,Capeverdean creole,Old Portuguese,,"Assi, assim; tão.Dial. cab.— Port. arch. Assilai, assilei (mais us.), assilie (pron. assilai; adj.)^ tal, similhante. Assilai: dial. mac. — De assi e laia. Assitanto, astanto (maisus.), tanto. Assim por táo: dial. mang.","assim, tão",,138.0
155,Assilai,asilai,"tal, semelhante",,"such, similar",adverb,Macao creole,,,,"tal, similhante",,
156,assilei,asilei,"tal, semelhante",,"such, similar",pronoun,Macao creole,,,,"tal, similhante",,
