SriLanka_creole,phonetic_transcription,Portuguese_definition,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
Ade,ade,pato,duck,noun,Macao creole,"Old Portuguese, All Portuguese-based creoles of India",,"Ade, adem, pato. Comm. Dial. mac. — Port. arch. na signif.",pato,,135.0
adem,adem,pato,duck,noun,Macao creole,"Old Portuguese, All Portuguese-based creoles of India",,"Ade, adem, pato. Comm. Dial. mac. — Port. arch. na signif.",pato,,135.0
Ade,ade,"há de, hei de, etc","it will be, I will be, etc.",verb,,,Istori de San Clear,"Ade (poet.), ha de, hei de, etc. P. us. Cfr. ero.","ha de, hei de, etc","pouco usado, poético",135.0
Adéo,adeːo,adeus,goodbye,noun,,,,"Adéo, adeus. 5 apocopado, por se considerar a locução simples e singular. Cfr. simple.",adeus,,135.0
Adiôto,adioːto,douto,learned,noun,,,Istori de San Clear,"Adiôto (S. C), douto.",douto,,135.0
Adivu,adiʋu,"adive, chacal, raposa","jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
adiu,adiu,"adive, chacal, raposa","jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
adio,adio,"adive, chacal, raposa","jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
adéo,adeːo,"adive, chacal, raposa","jackal, fox",noun,,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135.0
Adjudà,ad̠ʒudaː,ajudar,help,verb,,,,"Adjudà, ajudar. Mais us. Judá. Cfr. Jitchá.",ajudar,,136.0
Admiral,admiɾal,almirante,admiral,noun,English,,,"Admirai, almirante. — Ingl.",almirante,,136.0
Adultéria,adulteːɾia,adultério,adultery,noun,,,,"Adultéria, adulteração, adultério. Cfr. mystéria; cui-dação.",adultério,,136.0
adulteração,adulteɾasaːo,adultério,adultery,noun,,,,"Adultéria, adulteração, adultério. Cfr. mystéria; cui-dação.",adultério,,136.0
Adulterioso,adulteɾiozo,adultero,adulterer,noun,,,,"Adultérios o, adulteiroso, adultero. Cfr. alegroso, im-pioso, mundoso.",adultero,,136.0
adulteiroso,adulteiɾozo,adultero,adulterer,noun,,,,"Adultérios o, adulteiroso, adultero. Cfr. alegroso, im-pioso, mundoso.",adultero,,136.0
Advocat,adʋokat,advogado,advocate,noun,English,,,"Advocat, advogado. P. us. V. AVOCADO. — Ingl. advocate.",advogado,pouco usado,136.0
Advogador,adʋogadoɾ,advogado,attorney,noun,,,"Cantigas, ed. de Newstead","Advogador (C. de N.), advogado.",advogado,,136.0
Affajado,afad̠ʒado,afogado,drowned,adjective,,,,"AíFajado (A^. T.), afogado.",afogado,,136.0
Affeçan,afesan,afeição,affection,noun,,,,"Affeçan, aífeição.",aífeição,,136.0
Afflictá,afliktaː,afligir,afflict,verb,English,,,"Afflictá, affligir. Afflictado, afflicto.^—Ingl. to afflict.",affligir,,136.0
Ágô,aːgoː,água,water,noun,"Capeverdean creole, Cochin creole, Macao creole",,,"Ágo (fórm. mod.), agoe, (p. uspron. ágô)^ agua (t. us.). Ago: dial. cochmac, cab. Cfr. lingo, lego.",água,pouco usado,136.0
Agór,agoːɾ,agora,now,adverb,"Diu creole, Mangalor creole",,,"Agór, agorra, agorrè, agora (ant.). Agor: dial. mangdiv. Cfr. carro; forre.",agora,,136.0
agorra,agora,agora,now,adverb,"Diu creole, Mangalor creole",,,"Agór, agorra, agorrè, agora (ant.). Agor: dial. mangdiv. Cfr. carro; forre.",agora,,136.0
agorrè,agoreː,agora,now,adverb,"Diu creole, Mangalor creole",,,"Agór, agorra, agorrè, agora (ant.). Agor: dial. mangdiv. Cfr. carro; forre.",agora,,136.0
Agradado,agɾadado,agradável,pleasant,adjective,,,,"Agradado, agradável. Cfr. desobedecido, perfeitado.",agradável,,136.0
Aguá,aguaː,voar,fly,verb,Macao creole,,,"Agua, aguvá, voar. Agua: dial. mac.—Por avoá, q. v. Cfr. nôgo, ôgo.",voar,,136.0
aguvá,aguʋaː,voar,fly,verb,Macao creole,,,"Agua, aguvá, voar. Agua: dial. mac.—Por avoá, q. v. Cfr. nôgo, ôgo.",voar,,136.0
Aindè,aindeː,ainda,still,adverb,,,,"Aindè, ainda. Mais us. indè.",ainda,,136.0
Aio,aio,ah! oh!,ah! oh!,interjection,,,,Aio (pron. aiô)ah! oh! — Singl. ■&gt,"Em Macao creole : aiá.,ah! oh!",,136.0
Ajo,ad̠ʒo,alho,garlic,noun,,,,"Ajo, alho. Cfr. ojo.",alho,,136.0
Alà,alaː,"lá, ali",there,adverb,Capeverdean creole,Old Portuguese,,"Alà, allá, lá; alli. Dial. cab. Alá: port. arch.","lá, alli",,136.0
allá,alaː,"lá, ali",there,adverb,Capeverdean creole,Old Portuguese,,"Alà, allá, lá; alli. Dial. cab. Alá: port. arch.","lá, alli",,136.0
Albre,albɾe,árvore,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
àlbri,aːlbɾi,árvore,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
àlbir,aːlbiɾ,árvore,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
Aldeano,aldeano,aldeão,villager,noun,,,,"Aldeano, aldeão. T. em Gôa. Cfr. capitano.",aldeão,,136.0
Aldia,aldia,aldeia,village,noun,,,,"Aldia, aldeia. Cfr. ária, cadia.",aldeia,,136.0
Alegrado,alegɾado,alegre,merry,adjective,,,,"Alegrado, alegre. Cfr. agradado.",alegre,,136.0
Alegroso,alegɾozo,alegre,merry,adjective,,,,"Alegroso, alegre. Cfr. se-rioso, varioso.",alegre,,136.0
Alembrá,alembɾaː,"lembrar, lembrar-se",remember,verb,Diu creole,"Old Portuguese, Dialectal Portuguese",,"Alembrá, lembrar, lembrar-se. Dial. div. — Port. arch. e Dialetal Portuguese. alembrar. Alembração (A^. 7^.), lembrança (mais us.).","lembrar, lembrar-se",,136.0
Alembração,alembɾasaːo,lembrança,remembrance,noun,,,,,lembrança,,136.0
Alfada,alfada,almofada,cushion,noun,,,,"Alfada, almofada.— Por al-m'fada (assimil.).",almofada,,136.0
Alfàndago,alfaːndago,alfândega,customs,noun,,,,"Alfàndago, alfandega.",alfandega,,136.0
Alfiato,alfiato,alfaiate,tailor,noun,,,,"Alfiato, alfaiate. Alfiate: dial. de Mahé.",alfaiate,,136.0
Algoso,algozo,algoz,executioner,noun,,,,"Algoso, algoz. Paragoge de o. Cfr. praieiro.",algoz,,136.0
Alguems,algems,alguns,a few,pronoun,,,,"Alguems (A^. T"".), alguns. V.",alguns,,136.0
Alhum,aʎum,algum,any,pronoun,,,,"Alhum, alum (p.us.), algum. Alhuma, alguém, algum de. Alhumas, algumas pessoas, alguns de. Alhumhoras, por algum tempo. Alhumhoras... alhumhoras ..ora... ora...",algum,,136.0
alum,alum,algum,any,pronoun,,,,"Alhum, alum (p.us.), algum. Alhuma, alguém, algum de. Alhumas, algumas pessoas, alguns de. Alhumhoras, por algum tempo. Alhumhoras... alhumhoras ..ora... ora...",algum,,136.0
Alhuma,aʎuma,alguém,someone,pronoun,,,,,alguém,,136.0
algum de Alhumas,algum de aʎumas,"algumas pessoas, alguns de",some people,pronoun,,,,,"algumas pessoas, alguns de",,136.0
Alhumhoras,aʎumoɾas,por algum tempo,for a while,adverb,,,,,por algum tempo,,136.0
Alhumhoras...alhumhoras...,aʎumoɾas aʎumoɾas ,ora ora,well... well..,adverb,,,,,ora ora,,136.0
Allagrá,alagɾaː,"alegrar, alegrar-se",rejoice,verb,,,"O Bruffador, ii periódico","AUagrá, allagriá {Br. 2), alegrar, alegrar-se. Allagre, allagroso, allegrioso {Br. 2), alegre. Allagriá, alegria. — Infl. das linguaes na mudança de e em a.","alegrar, alegrar-se",,136.0
allagriá,alagɾiaː,"alegrar, alegrar-se",rejoice,verb,,,"O Bruffador, ii periódico","AUagrá, allagriá {Br. 2), alegrar, alegrar-se. Allagre, allagroso, allegrioso {Br. 2), alegre. Allagriá, alegria. — Infl. das linguaes na mudança de e em a.","alegrar, alegrar-se",,136.0
Allagre,alagɾe,alegre,merry,adjective,,,,,alegre,,136.0
allagroso,alagɾozo,alegre,merry,adjective,,,,,alegre,,136.0
allegrioso,alegɾiozo,alegre,merry,adjective,,,,,alegre,,136.0
Allagria,alagɾia,alegria,joy,noun,,,,"Allegri, alegria (t. us.). Cfr. caristi.",alegria,,136.0
allegri,alegɾi,alegria,joy,noun,,,,"Allegri, alegria (t. us.). Cfr. caristi.",alegria,,136.0
Almári,almaːɾi,armário,cabinet,noun,,,,"Almári, almario, armário. Cfr. peditóri, remedi.",armário,,136.0
Almazem,almazem,armazém,warehouse,noun,,"Old Portuguese, Dialectal Portuguese",,"Almazem, armazém.—Port. arch. e Dialetal Portuguese. Mais us. gudão.",armazém,,136.0
Almóça,almoːsa,almoço,lunch,noun,,,,"Almoça, almoço.",almoço,,136.0
Alqumas,alkumas,algumas,a few (feminine),pronoun,,,,"Alqumas, algumas. P. us. V.",algumas,pouco usado,136.0
Altividade,altiʋidade,altivez,pride,noun,,Old Portuguese,,"Altividade, altivez. — Port. arch.",altivez,,137.0
Alumado,alumado,aluado,moonstruck,adjective,,,,"Alumado, aluado. Mais us. l untado.",aluado,,137.0
Aluminá,aluminaː,iluminar,illuminate,verb,,,,"Aluminá, illuminar.",illuminar,,137.0
Alverção,alʋeɾsaːo,aversão,aversion,noun,,,Cantigas,Alverção (Cant.)^ aversão.,aversão,,137.0
Alvorsà,alʋoɾsaː,alvoroçar,fuss,verb,,,,"Alvorsà, alversá, alvoroçar.",alvoroçar,,137.0
alversá,alʋeɾsaː,alvoroçar,fuss,verb,,,,"Alvorsà, alversá, alvoroçar.",alvoroçar,,137.0
Alvoroção,alʋoɾosaːo,alvoroço,uproar,noun,,,"O Bruffador, i periódico","Alvoroção (deriv. norm.), alvroço {Br. i), alvoroço.",alvoroço,derivado,
alvroço,alʋɾoso,alvoroço,uproar,noun,,,"O Bruffador, i periódico","Alvoroção (deriv. norm.), alvroço {Br. i), alvoroço.",alvoroço,derivado,
Causedor,kauzedoɾ,causador,causer,adjective,,,,,causador,,
Depalmião,depalmiaːo,desde a manhã,since the morning,adverb,Capeverdean creole,,,,desde a manhã,,
Amanhão,amaɲaːo,amanhã,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
aminhão,amiɲaːo,amanhã,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
amião,amiaːo,amanhã,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
amiam,amiam,amanhã,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
Amaroso,amaɾozo,amoroso,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
ameroso,ameɾozo,amoroso,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
amoro,amoɾo,amoroso,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
Ambal,ambal,bigorna,anvil,noun,Dutch,,,"Ambal, bigorna.—HoU. aann-beeld.",bigorna,,137.0
Améças,ameːsas,ameaças,threats,noun,,,,"Améças, ameaças. V. messá.",ameaças,,137.0
Amiçan,amisan,ambição,ambition,noun,,,,"Amiçan, ambição. Ass. do b. á nasal precedente. Cfr. amos.",ambição,,137.0
Amizade,amizade,"amizade, amigo","friendship, friend",noun,,,,"Amisfade, amizade; amigo. Cfr. inimizade, secura.","amizade, amigo",,137.0
Amos,amos,ambos,both,pronoun,,"Old Portuguese, Dialectal Portuguese",,"Amos (t. us.), ambos.—Port. arch. e Dialetal Portuguese. em próclise («amos de dois», «amordois»).",ambos,,137.0
Ámper,aːmpeɾ,"cerca de, quasi","about, almost",adverb,,,,"Ámper, ámper ámper, cerca de, quasi. — Etym. inc.","cerca de, quasi",,137.0
ámperámper,aːmpeɾaːmpeɾ,"cerca de, quasi","about, almost",adverb,,,,"Ámper, ámper ámper, cerca de, quasi. — Etym. inc.","cerca de, quasi",,137.0
Ampér,ampeːɾ,amparo,amparo,noun,,,Cantigas,Ampér {Cant.)^ amparo.,amparo,,137.0
Amportà,ampoɾtaː,amparar,support,verb,,,"O Bruffador, ii periódico","Amportà {Br. 2), amparar.",amparar,,137.0
Andà,andaː,"andar, ir","walk, go",verb,,,,"Anda, andavè (poet.), andar; ir. Substitue vai.","andar, ir",poético,137.0
andavè,andaʋeː,"andar, ir","walk, go",verb,,,,"Anda, andavè (poet.), andar; ir. Substitue vai.","andar, ir",poético,137.0
Anela,anela,anel,ring,noun,Macao creole,,,"Anela, anel. Dial. de Mahé, mac. Cfr. papeia.",anel,,137.0
Anima,anima,ânimo,cheer,noun,,,,"Anima, animo. Cfr. almoça.",animo,,137.0
Anjo-chusmos,and̠ʒo t̠ʃuzmos,turmas de anjos,groups of angels,noun,,,,"Anjo-chusmos, turmas de anjos. Anjo-cuidador, anjo da guarda. Anjo-fallas, falias angélicas. Anjo-rosto, rosto de anjo.",turmas de anjos,,137.0
Anjo-cuidador,and̠ʒo kuidadoɾ,Anjo-cuidador,caretaker angel,noun,,,,,Anjo-cuidador,,
Anjo-fallas,and̠ʒo falas,falas angélicas,angelic talk,noun,,,,,fallas angélicas,,
Anjo-rosto,and̠ʒo ɾosto,rosto de anjo,angel face,noun,,,,,rosto de anjo,,
Anjóla,and̠ʒoːla,anzol,hook,noun,,Old Portuguese,,"Anjóla, anzol. — Port. arch. anzolo.",anzol,,137.0
Ankerà,ankeɾaː,ancorar,anchor,verb,,,,"Ankerà, anchrà,, ancrà, an-chorar,",ancorar,,137.0
ancrà,ankɾaː,ancorar,anchor,verb,,,,"Ankerà, anchrà,, ancrà, an-chorar,",ancorar,,137.0
Anno-casa,anno kaza,casa em que se festeja o dia de anos,house where the birthday is celebrated,noun,,,,"Anno-casa, casa em que se festeja o dia de annos. Anno-dia, primeiro dia do anno.",casa em que se festeja o dia de annos,,137.0
Anno-dia,anno dia,primeiro dia do ano,first day of the year,numeral,,,,,primeiro dia do anno,,
Anoute,anoute,noite,night,noun,,,,"Anoute, noite. — De á noute. Cfr. atarde, dedia.",noite,,137.0
Anciado,ansiado,ansioso,anxious,noun,,,,"Andado, ancioso. Cfr. alegrado, contentado.",ancioso,,137.0
Ansque,anske,"antes que, antes de",before,adverb,,,,"Ansque, antes que; antes de.","antes que, antes de",,137.0
Antiphono,antifono,antífona,antiphony,noun,,,,"Antiphono, antiphona.",antiphona,,137.0
Anxiamente,anʃiamente,ansiosamente,eagerly,adverb,,,,"Anxiamente, anciosamente. Cfr. /orçamente.",anciosamente,,137.0
Apertamento,apeɾtamento,"aperto, aflição","tightness, distress",noun,,Old Portuguese,,"Apertamento, apartamento, aperto, afflicçao.— Apertamento: port. arch.","aperto, afflicção",,137.0
apartamento,apaɾtamento,"aperto, aflição","tightness, distress",noun,,Old Portuguese,,"Apertamento, apartamento, aperto, afflicçao.— Apertamento: port. arch.","aperto, afflicção",,137.0
Apinhá,apiɲaː,apanhar,catch,verb,,,,"Apinha, apanhar. T. panhà. Cfr. accompinhá.",apanhar,,137.0
Applicação,aplikasaːo,"requerimento, representação",application,noun,English,,,"Applicaçáo, applicaçan, requerimento, representação. — Ingl. application.","requerimento, representação",,137.0
applicaçan,aplikasan,"requerimento, representação",application,noun,English,,,"Applicaçáo, applicaçan, requerimento, representação. — Ingl. application.","requerimento, representação",,137.0
Approval,apɾoʋal,aprovação,approval,noun,English,,,"Approval, approvacão.— Ingl.",approvacão,,137.0
April,apɾil,abril,april,noun,English,,,"April, abril. — Ingl.",abril,,137.0
Aquél,akeːl,aquilo,aquilo,pronoun,,,,"Aquél, aquelle, aquillo; o. Aquelhora (/-A), aquella hora: então. Dial. coch. Aquelvidè, por causa d'aquillo: por isso, por tanto. V. vide.",aquillo,,137.0
aquelle,akele,aquilo,aquilo,pronoun,,,,"Aquél, aquelle, aquillo; o. Aquelhora (/-A), aquella hora: então. Dial. coch. Aquelvidè, por causa d'aquillo: por isso, por tanto. V. vide.",aquillo,,137.0
Aquelvide,akelʋide,por causa daquilo,because of that,adverb,,,,,por causa daquilo,,
Arco,aɾko,"arco, arca","bow, ark",noun,,,,"Arco, arco; arca. Cfr. braço, ponto.","arco, arca",,138.0
Ária,aːɾia,areia,sand,noun,Macao creole,,,"Ária, areia. Dial. mac. Cfr. aldia, cadia.",areia,,138.0
Arià,aɾiaː,variar,vary,verb,,,,"Arià, variar. Ariado, variado, vario. Ariação, variação.",variar,,138.0
Ariba,aɾiba,arriba,cliff,noun,,Dialectal Portuguese,,"Ariba, arriba (port. Dialetal Portuguese.) Mais us. riba.",arriba,,138.0
Aromatizàrs,aɾomatizaːɾs,aromas,flavours,noun,,,"O Bruffador, ii periódico","Aromatizàrs [Br. 2), aromas.—Verbo substantivado.",aromas,,138.0
Aros,aɾos,arroz,rice,noun,,,,"Aros, arroz. Aro^: Chr. de Bisn.",arroz,,138.0
Artaple,aɾtaple,batata,potato,noun,Dutch,,,"Artaple, batata. — WoW.aar-dappel.",batata,,138.0
Ártei,aːɾtei,"forte, robusto","strong, robust",adjective,Dutch,,,"Ártei (p. us.), forte, robusto. — Holl. hartig.","forte, robusto",pouco usado,138.0
Articulo,aɾtikulo,artigo,article,noun,English,,,"Articulo, artigo. — Do ingl. article f",artigo,,138.0
Artifiço,aɾtifiso,artifício,artifice,noun,,,,"Artifiço, artificio. Cfr. pa-laço, sacrifico.",artificio,,138.0
Artilháris,aɾtiʎaːɾis,artilheiros,gunners,noun,,Old Portuguese,"O Bruffador, i periódico","Artilháris {Br. i), artilheiros. — Port. arch. artelharya. Cfr. conselharo.",artilheiros,,138.0
Ásper,aːspeɾ,áspero,rough,adjective,,,,"Ásper, áspero. Cfr. vésper, témper. Asperà, tornar-se áspero, esbravejar. Asperdade, aspereza. Cfr. altividade, duvi-dade.",áspero,,138.0
Asperà,aspeɾaː,"tornar-se áspero, esbravejar","roughen up, rant",verb,,,,,"tornar-se áspero, esbravejar",,
Asperdade,aspeɾdade,aspereza,rough protuberances,noun,,,,,aspereza,,
Assi,asi,"assim, tão",as,adverb,Capeverdean creole,Old Portuguese,,"Assi, assim; tão.Dial. cab.— Port. arch. Assilai, assilei (mais us.), assilie (pron. assilai; adj.)^ tal, similhante. Assilai: dial. mac. — De assi e laia. Assitanto, astanto (maisus.), tanto. Assim por táo: dial. mang.","assim, tão",,138.0
Assilai,asilai,"tal, semelhante","such, similar",adverb,Macao creole,,,,"tal, similhante",,
assilei,asilei,"tal, semelhante","such, similar",pronoun,Macao creole,,,,"tal, similhante",,
Assitanto,asitanto,tanto,so much,adverb,,,,,tanto,,
astanto,astanto,tanto,as much,adverb,,,,,tanto,,
Assino,asino,assinatura,signature,noun,,,,"Assino, assignatura. — Do verbo assina. Cfr. ruino.",assignatura,,138.0
Assofran,asofɾan,açafrão,saffron,noun,,,,"Assofran, açafrão. Asso-frà, açafroar.",açafrão,,138.0
Assofrà,asofɾaː,açafroar,saffron,verb,,,,,açafroar,,
Atà,ataː,até,until,adverb,,Old Portuguese,,"Atà, até (t. us.). — Port. arch.",até,,138.0
Atarde,ataɾde,tarde,afternoon,adverb,,,,"Atarde, tarde.—De á tarde. Cfr. anoute, dedia.",tarde,,138.0
Atchà,at̠ʃaː,achar,find,verb,Macao creole,,,"Atchà, achar (mais us.). Dial. mac. Cfr. fitchá.",achar,,138.0
Até,ateː,isto é,this is,pronoun,,,,"Até, isto é. — Abrev. de aquel tem (t. us.).",isto é,,138.0
Atramento,atɾamento,atrevimento,dare,noun,,,,"Atramento, atrevimento. Atramentá, atrever-se.",atrevimento,,138.0
Atramentá,atɾamentaː,atrever-se,dare,verb,,,,"Atrevimentá (Gomes), atrever-se.— De atrevimento.",atrever-se,,138.0
atrevimentá,atɾeʋimentaː,atrever-se,dare,verb,,,,"Atrevimentá (Gomes), atrever-se.— De atrevimento.",atrever-se,,138.0
Atténcia,atːeːnsia,atenção,attention,noun,English,,,"Atténcia, atténcè, atten-ção.'—Infl. do ingl. attention? Cfr. intenda.",attenção,,138.0
atténcè,atːeːnseː,atenção,attention,noun,English,,,"Atténcia, atténcè, atten-ção.'—Infl. do ingl. attention? Cfr. intenda.",attenção,,138.0
Attermesan,atːeɾmezan,altercação,quarrel,noun,,,Istori de San Clear,"Attermesan (5. C), altercação ?",altercação,,138.0
Audénci,audeːnsi,audiência,hearing,noun,,,,"Audénci, audiência. Cfr./&gt;a-cénci, comedi.",audiência,,138.0
Audia,audia,audácia,audacity,noun,,,Cantigas,"Audia (Cant.), audácia ?",audácia,,138.0
Ógost,oːgost,agosto,august,noun,English,,,"Augnst (pron. ógost), agosto.— Ingl.",agosto,,138.0
Avantagem,aʋantad̠ʒem,vantagem,advantage,noun,,Old Portuguese,,"Avantagem (A^. T.), vantagem.— Port. arch.",vantagem,,138.0
Avelho,aʋeʎo,abelha,bee,noun,,,,"Avelho, abelha.",abelha,,138.0
Avená,aʋenaː,abanar,shake,verb,,,,"Avena, abanar.",abanar,,138.0
Avoà,aʋoaː,voar,fly,verb,,"Old Portuguese, Dialectal Portuguese",,"Avoà, voar. — Port. arch. e Dialetal Portuguese.",voar,,138.0
Avogado,aʋogado,advogado,attorney,noun,,Old Portuguese,,"Avogado, advogado. —Port. arch.",advogado,,138.0
Avô-mai,aʋoː mai,avô materno,father of the mother,noun,,,,"Avô-mai, avô materno. Avô-pai, avô paterno. Cfr. pae-tio, mãe-tta, no dial. de Goa creole.",avô materno,,138.0
Avô-pai,aʋoː pai,avô paterno,father of the father,noun,,,,,avô paterno,,
Azéte,azeːte,azeite,olive oil,noun,,,"O Bruffador, i periódico","Azéte, aziete {Br. i), azeite. Azeitero, azietero {Br. i), azeiteiro. Azeitero: Dial. mac.",azeite,,138.0
